month,rainfall_mm,fatalities,injured,total_casualties,traffic_volume,fatality_rate
2009-01-01,38.3,13.0,898.0,911.0,278400.0,1.5565134099616857
2009-02-01,201.8,12.0,853.0,865.0,278400.0,1.4367816091954022
2009-03-01,223.3,11.0,918.0,929.0,278400.0,1.317049808429119
2009-04-01,183.7,14.0,897.0,911.0,278400.0,1.6762452107279693
2009-05-01,198.6,22.0,927.0,949.0,278400.0,2.634099616858238
2009-06-01,21.8,10.0,893.0,903.0,278400.0,1.1973180076628351
2009-07-01,161.0,16.0,892.0,908.0,278400.0,1.9157088122605361
2009-08-01,177.8,14.0,966.0,980.0,278400.0,1.6762452107279693
2009-09-01,109.6,18.0,866.0,884.0,278400.0,2.1551724137931036
2009-10-01,133.4,13.0,917.0,930.0,278400.0,1.5565134099616857
2009-11-01,281.8,16.0,941.0,957.0,278400.0,1.9157088122605361
2009-12-01,189.8,24.0,918.0,942.0,278400.0,2.8735632183908044
2010-01-01,69.5,18.0,857.0,875.0,293300.0,2.0456870098874873
2010-02-01,6.3,7.0,854.0,861.0,293300.0,0.7955449482895783
2010-03-01,238.0,23.0,950.0,973.0,293300.0,2.6139334015229
2010-04-01,158.5,19.0,947.0,966.0,293300.0,2.1593362882145697
2010-05-01,157.5,18.0,1012.0,1030.0,293300.0,2.0456870098874873
2010-06-01,240.5,17.0,849.0,866.0,293300.0,1.9320377315604047
2010-07-01,298.5,16.0,1027.0,1043.0,293300.0,1.8183884532333219
2010-08-01,158.4,20.0,1055.0,1075.0,293300.0,2.2729855665416525
2010-09-01,121.5,14.0,970.0,984.0,293300.0,1.5910898965791567
2010-10-01,166.2,13.0,1040.0,1053.0,293300.0,1.477440618252074
2010-11-01,278.8,14.0,929.0,943.0,293300.0,1.5910898965791567
2010-12-01,181.4,14.0,838.0,852.0,293300.0,1.5910898965791567
2011-01-01,513.2,20.0,956.0,976.0,300000.0,2.222222222222222
2011-02-01,23.0,15.0,790.0,805.0,300000.0,1.6666666666666667
2011-03-01,256.6,17.0,893.0,910.0,300000.0,1.8888888888888888
2011-04-01,217.8,16.0,883.0,899.0,300000.0,1.7777777777777777
2011-05-01,127.0,15.0,866.0,881.0,300000.0,1.6666666666666667
2011-06-01,213.0,16.0,841.0,857.0,300000.0,1.7777777777777777
2011-07-01,76.6,19.0,914.0,933.0,300000.0,2.111111111111111
2011-08-01,81.4,19.0,907.0,926.0,300000.0,2.111111111111111
2011-09-01,136.4,15.0,910.0,925.0,300000.0,1.6666666666666667
2011-10-01,216.8,19.0,927.0,946.0,300000.0,2.111111111111111
2011-11-01,377.8,12.0,837.0,849.0,300000.0,1.3333333333333335
2011-12-01,284.6,12.0,887.0,899.0,300000.0,1.3333333333333335
2012-01-01,106.1,17.0,855.0,872.0,292000.0,1.9406392694063925
2012-02-01,83.6,17.0,900.0,917.0,292000.0,1.9406392694063925
2012-03-01,313.4,15.0,910.0,925.0,292000.0,1.7123287671232876
2012-04-01,260.6,15.0,829.0,844.0,292000.0,1.7123287671232876
2012-05-01,292.0,11.0,889.0,900.0,292000.0,1.2557077625570776
2012-06-01,53.0,10.0,701.0,711.0,292000.0,1.1415525114155252
2012-07-01,130.8,9.0,899.0,908.0,292000.0,1.0273972602739725
2012-08-01,119.0,15.0,897.0,912.0,292000.0,1.7123287671232876
2012-09-01,107.6,11.0,871.0,882.0,292000.0,1.2557077625570776
2012-10-01,122.2,15.0,847.0,862.0,292000.0,1.7123287671232876
2012-11-01,208.2,14.0,811.0,825.0,292000.0,1.5981735159817352
2012-12-01,363.4,19.0,844.0,863.0,292000.0,2.1689497716894977
2013-01-01,262.0,19.0,858.0,877.0,289000.0,2.1914648212226067
2013-02-01,395.2,19.0,770.0,789.0,289000.0,2.1914648212226067
2013-03-01,85.8,14.0,801.0,815.0,289000.0,1.6147635524798154
2013-04-01,159.4,10.0,832.0,842.0,289000.0,1.1534025374855825
2013-05-01,211.4,13.0,810.0,823.0,289000.0,1.499423298731257
2013-06-01,111.4,17.0,750.0,767.0,289000.0,1.9607843137254901
2013-07-01,174.6,11.0,814.0,825.0,289000.0,1.2687427912341407
2013-08-01,165.6,13.0,856.0,869.0,289000.0,1.499423298731257
2013-09-01,257.0,7.0,831.0,838.0,289000.0,0.8073817762399077
